https://heasarc.gsfc.nasa.gov/W3Browse/planck/planckgcc.html
Results from heasarc_planckgcc: Planck Catalog of Galactic Cold Clumps (PGCC)
Coordinate system: Equatorial
|name              |ra         |dec        |temperature|temperature_error|mass        |mass_error  |size      |size_error|
|PGCC G312.96-27.80|19 17 50.75|-81 04 52.2|  15.517000|         4.123000|            |            |          |          |
|PGCC G312.94-28.42|19 33 52.54|-81 03 14.7|  11.705000|         2.042000|            |            |          |          |
|PGCC G306.25-18.71|14 13 55.10|-81 02 40.5|  16.181999|         1.221000|            |            |          |          |
|PGCC G311.93-23.25|17 17 22.18|-80 59 11.4|  14.112000|         1.625000|            |            |          |          |
|PGCC G307.32-19.01|14 40 47.07|-80 56 20.1|  15.237000|         2.358000|            |            |          |          |
|PGCC G302.00-18.08|12 28 59.00|-80 54 57.4|  12.995000|         2.407000|2.450450e+00|1.494850e+00|  0.431111|  0.040653|
|PGCC G301.88-18.07|12 26 13.67|-80 53 13.3|  12.889000|         1.036000|1.129370e+00|3.757890e-01|  0.271708|  0.028077|
|PGCC G313.13-28.74|19 41 31.73|-80 50 47.0|  10.897000|         1.133000|            |            |          |          |
|PGCC G304.04-18.01|13 17 50.71|-80 49 43.6|           |                 |            |            |          |          |
|PGCC G313.26-28.08|19 24 47.05|-80 48 06.3|  13.884000|         1.999000|            |            |          |          |
|PGCC G302.36-17.94|12 37 55.33|-80 47 36.4|  13.942000|         3.775000|8.413630e-01|6.621940e-01|  0.341920|  0.038919|
|PGCC G305.44-18.21|13 51 33.55|-80 47 13.8|  14.286000|         1.361000|            |            |          |          |
|PGCC G309.35-20.00|15 34 58.89|-80 45 40.1|  15.799000|         3.743000|            |            |          |          |
|PGCC G308.22-19.22|15 02 08.81|-80 43 14.6|  16.962000|         3.236000|            |            |          |          |
|PGCC G293.16-30.77|05 09 54.29|-80 42 52.1|  14.651000|         2.603000|            |            |          |          |
|PGCC G303.98-17.85|13 16 01.11|-80 40 32.1|  14.179000|         1.950000|6.705860e-01|3.139580e-01|  0.350986|  0.033267|
